Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/04/16,19041.208,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/05/27,19041.264,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/06/09,19041.329,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/07/14,19041.388,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/08/11,19041.45,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/09/08,19041.508,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/10/13,19041.572,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/11/10,19041.63,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2020/11/19,19041.631,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2020/12/08,19041.685,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2020/12/08,19041.685,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2021/01/12,19041.746,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2021/01/12,19041.746,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2021/02/09,19041.804,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2021/02/09,19041.804,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2021/03/09,19041.867,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2021/03/09,19041.867,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2021/04/13,19041.928,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2021/04/13,19041.928,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2021/05/11,19041.985,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,2004,Pro,2021/05/11,19041.985,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2022/01/11,19042.1466,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,20H2,Pro,2022/04/19,19042.1645,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/06/08,19043.1052,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/07/13,19043.111,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/08/10,19043.1165,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/09/14,19043.1237,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/10/12,19043.1288,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/11/09,19043.1348,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H2,Pro,2021/12/14,19043.1415,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/12/14,19043.1415,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2022/01/11,19043.1466,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2022/04/19,19043.1645,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2022/05/17,19043.1706,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H1,Pro,2021/04/13,19043.928,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H2,Pro,2021/10/12,19044.1288,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H2,Pro,2022/01/11,19044.1466,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H2,Pro,2022/04/19,19044.1645,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 10,21H2,Pro,2022/05/17,19044.1706,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
141,1,Information,,Method,DCStart,Jit NGen,Windows 11,21H2,Pro,2021/09/16,22000.194,MethodID={MethodID};ModuleID={ModuleID};MethodStartAddress={MethodStartAddress};MethodSize={MethodSize};MethodToken={MethodToken};MethodFlags={MethodFlags};ClrInstanceID={ClrInstanceID},{MethodID} | {ModuleID} | {MethodStartAddress} | {MethodSize} | {MethodToken} | {MethodFlags} | {ClrInstanceID}
