Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A Bluetooth policy has changed.  Policy {PolicyPath}\{PolicyName} has value of: {PolicyValue},{PolicyPath} | {PolicyName} | {PolicyValue}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,22H2,Pro,2023/03/21,19045.2728,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,22H2,Pro,2023/02/21,19045.2604,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2023/03/21,19044.2728,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/12/20,19043.2364,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/11/15,19043.2251,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/10/18,19043.213,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2021/05/11,19041.985,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2021/04/13,19041.928,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2021/03/09,19041.867,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/09/08,19041.508,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/08/11,19041.45,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/07/14,19041.388,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/06/09,19041.329,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/05/27,19041.264,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,2004,Pro,2020/04/16,19041.208,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
3,0,Information,Microsoft-Windows-Bluetooth-Policy/Operational,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Bluetooth radio has {PolicyState} advertising due to policy {PolicyPath}\{PolicyName}.,{PolicyState} | {PolicyPath} | {PolicyName}
