Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,22H2,Pro,2023/03/21,19045.2728,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,22H2,Pro,2023/02/21,19045.2604,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,22H2,Pro,2023/01/17,19045.2486,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,22H2,Pro,2022/12/20,19045.2364,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,22H2,Pro,2022/11/15,19045.2251,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2023/03/21,19044.2728,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2023/02/21,19044.2604,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2023/01/17,19044.2486,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/12/20,19044.2364,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/11/15,19044.2251,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/10/18,19044.213,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/09/20,19044.2006,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/08/16,19044.1889,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/07/19,19044.1826,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/06/21,19044.1766,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/05/17,19044.1706,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/04/19,19044.1645,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/01/11,19044.1466,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2021/10/12,19044.1288,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/04/13,19043.928,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/12/20,19043.2364,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/11/15,19043.2251,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/10/18,19043.213,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/09/20,19043.2006,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/08/16,19043.1889,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/07/19,19043.1826,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/06/21,19043.1766,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/05/17,19043.1706,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/04/19,19043.1645,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/01/11,19043.1466,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/12/14,19043.1415,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2021/12/14,19043.1415,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/11/09,19043.1348,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/10/12,19043.1288,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/09/14,19043.1237,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/08/10,19043.1165,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/07/13,19043.111,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2021/06/08,19043.1052,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2022/04/19,19042.1645,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2022/01/11,19042.1466,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/05/11,19041.985,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/05/11,19041.985,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/04/13,19041.928,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/04/13,19041.928,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/03/09,19041.867,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/03/09,19041.867,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/02/09,19041.804,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/02/09,19041.804,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/01/12,19041.746,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/01/12,19041.746,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/12/08,19041.685,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2020/12/08,19041.685,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2020/11/19,19041.631,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/11/10,19041.63,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/10/13,19041.572,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/09/08,19041.508,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/08/11,19041.45,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/07/14,19041.388,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/06/09,19041.329,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/05/27,19041.264,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2020/04/16,19041.208,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/03/15,19041.1586,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2022/03/15,19041.1586,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/03/15,19041.1586,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H1,Pro,2022/02/15,19041.1526,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2022/02/15,19041.1526,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,21H2,Pro,2022/02/15,19041.1526,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/12/14,19041.1415,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/11/09,19041.1348,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/11/09,19041.1348,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/10/12,19041.1288,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/10/12,19041.1288,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/09/14,19041.1237,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/09/14,19041.1237,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/08/10,19041.1165,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/08/10,19041.1165,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/07/13,19041.111,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/07/13,19041.111,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,2004,Pro,2021/06/08,19041.1052,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,20H2,Pro,2021/06/08,19041.1052,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,1909,Pro,2020/07/14,18363.959,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,1909,Pro,2020/06/09,18363.9,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
38,0,Error,Microsoft-Windows-Runtime-WebAPI/Tracing,Parse,HTTP operation,Format,Windows 10,1909,Pro,2020/05/12,18363.836,Async operation {asyncOperation} at {asyncObject} failed to process HTTP response '{response}'. The error code is {errorCode}: {hresult},{asyncOperation} | {asyncObject} | {response} | {errorCode} | {hresult}
