Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
4,2,Error,Application,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2019/12/10,18363.535,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2019/10/05,18363.418,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2021/04/13,18363.15,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2021/03/09,18363.144,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/07/14,18362.959,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/05/12,18362.836,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/03/12,18362.72,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/02/11,18362.657,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2019/12/10,18362.535,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2019/11/12,18362.476,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2019/09/10,18362.356,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2019/03/29,18362.3,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2019/07/09,18362.239,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2019/06/11,18362.175,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2020/01/14,17763.973,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/12/10,17763.914,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/11/12,17763.864,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/10/08,17763.805,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/09/10,17763.737,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/08/13,17763.678,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/07/09,17763.615,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/06/11,17763.557,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/05/19,17763.504,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/04/09,17763.437,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/03/12,17763.379,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2019/02/12,17763.316,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1803,Pro,2019/01/08,17763.253,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2018/12/11,17763.194,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2020/11/10,17763.1577,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2020/10/13,17763.1518,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2020/09/08,17763.1457,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2020/08/11,17763.1397,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2020/07/14,17763.1339,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows 10,1809,Pro,2020/06/09,17763.1282,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
4,2,Error,Application,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Error {Error} encountered when trying to load MOF {MOF} while recovering .MOF file marked with autorecover.,{Error} | {MOF}
